epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.994,1.25971,2.53836,1.6962,1.18636,0.52239,0.42048,0.41846,0.21527,0.52286,0.39797,0.38441,0.15679,1.62467,3.3675,1.87653,1.47379,0.000664537,0.000664537,0.000664537
2,187.615,1.47857,2.91359,1.56288,1.33816,0.51999,0.42839,0.43357,0.23233,0.48946,0.37349,0.37114,0.151,1.62479,3.47161,1.67935,1.47236,0.00131802,0.00131802,0.00131802
3,279.148,1.50587,2.97816,1.50962,1.36424,0.58168,0.42914,0.46511,0.24539,0.56633,0.40935,0.42774,0.18176,1.6438,3.40316,1.85512,1.49876,0.00195831,0.00195831,0.00195831
4,369.346,1.48865,2.92414,1.4595,1.35332,0.58417,0.44442,0.48091,0.2676,0.55464,0.419,0.4386,0.20382,1.55907,3.14729,1.52722,1.4313,0.0019406,0.0019406,0.0019406
5,460.081,1.46586,2.90288,1.44466,1.34348,0.55163,0.45362,0.46963,0.25914,0.55473,0.424,0.43691,0.20039,1.52488,3.2156,1.54993,1.41096,0.0019208,0.0019208,0.0019208
6,550.583,1.42372,2.84852,1.38525,1.31546,0.62349,0.47103,0.51776,0.29524,0.61956,0.44497,0.48647,0.23579,1.49713,3.02632,1.44354,1.373,0.001901,0.001901,0.001901
7,640.756,1.40262,2.81382,1.35521,1.30204,0.62971,0.46698,0.52308,0.30522,0.63069,0.44645,0.49144,0.23961,1.42708,2.93005,1.42823,1.34082,0.0018812,0.0018812,0.0018812
8,730.95,1.37028,2.76286,1.31013,1.28209,0.65272,0.50705,0.56078,0.32692,0.66209,0.47564,0.52739,0.25554,1.43596,2.91061,1.31765,1.35314,0.0018614,0.0018614,0.0018614
9,821.144,1.36424,2.71142,1.29281,1.27473,0.64243,0.5115,0.55883,0.33048,0.64273,0.49592,0.53892,0.2719,1.4001,2.8044,1.29488,1.31243,0.0018416,0.0018416,0.0018416
10,911.414,1.34973,2.69833,1.26936,1.26881,0.6335,0.50408,0.54355,0.31422,0.62312,0.48429,0.51795,0.25897,1.40587,2.87194,1.37458,1.31833,0.0018218,0.0018218,0.0018218
11,1001.61,1.33969,2.69127,1.26294,1.2654,0.66125,0.52115,0.58405,0.34542,0.67699,0.49221,0.55688,0.28672,1.38199,2.77041,1.26715,1.3026,0.001802,0.001802,0.001802
12,1091.17,1.31122,2.64399,1.24842,1.25058,0.66545,0.51462,0.58319,0.35382,0.65912,0.49345,0.55452,0.27595,1.35685,2.83168,1.2058,1.29781,0.0017822,0.0017822,0.0017822
13,1180.66,1.30666,2.63398,1.22442,1.2436,0.65832,0.50309,0.57074,0.35215,0.6482,0.48306,0.54211,0.28342,1.35112,2.75452,1.26036,1.28241,0.0017624,0.0017624,0.0017624
14,1270.45,1.30425,2.62943,1.22103,1.24377,0.7007,0.51941,0.60145,0.37226,0.69493,0.50606,0.57597,0.304,1.33964,2.72405,1.18794,1.28109,0.0017426,0.0017426,0.0017426
15,1360.49,1.28926,2.61082,1.20179,1.23554,0.66604,0.53401,0.59117,0.36471,0.67168,0.50854,0.56693,0.29789,1.30303,2.67924,1.22309,1.26138,0.0017228,0.0017228,0.0017228
16,1450.53,1.28101,2.57982,1.18211,1.22597,0.68418,0.52457,0.59705,0.37219,0.69359,0.49369,0.5662,0.30029,1.33537,2.66946,1.20215,1.2777,0.001703,0.001703,0.001703
17,1540.59,1.26459,2.56128,1.17585,1.22111,0.70538,0.53821,0.61604,0.38617,0.71969,0.51472,0.59508,0.32009,1.28496,2.62232,1.1643,1.24373,0.0016832,0.0016832,0.0016832
18,1630.9,1.26691,2.55206,1.15615,1.21607,0.7321,0.52684,0.6213,0.38693,0.74044,0.50829,0.59911,0.31999,1.28924,2.59658,1.14844,1.24452,0.0016634,0.0016634,0.0016634
19,1721.04,1.25874,2.54073,1.14736,1.21477,0.69657,0.53896,0.61441,0.38373,0.71373,0.51521,0.59351,0.32075,1.30256,2.61094,1.14188,1.24753,0.0016436,0.0016436,0.0016436
20,1811.98,1.25166,2.54459,1.14869,1.21257,0.70232,0.53821,0.61829,0.38936,0.7144,0.5209,0.59981,0.32715,1.27492,2.58656,1.1338,1.22942,0.0016238,0.0016238,0.0016238
21,1902.16,1.25947,2.52326,1.14156,1.21035,0.70799,0.55112,0.62623,0.39267,0.70522,0.5303,0.60156,0.32903,1.27102,2.59706,1.10731,1.22738,0.001604,0.001604,0.001604
22,1992.9,1.23752,2.49874,1.11625,1.19196,0.68276,0.54617,0.61624,0.39122,0.69093,0.51809,0.58823,0.31979,1.28076,2.58641,1.12682,1.23472,0.0015842,0.0015842,0.0015842
23,2082.96,1.22832,2.4866,1.10914,1.19542,0.70417,0.55553,0.6347,0.40081,0.70921,0.53549,0.61212,0.3321,1.26525,2.55329,1.10671,1.21611,0.0015644,0.0015644,0.0015644
24,2172.76,1.22652,2.46638,1.09652,1.18998,0.69167,0.56122,0.62967,0.39751,0.70311,0.5298,0.60293,0.32834,1.24669,2.54619,1.10146,1.21465,0.0015446,0.0015446,0.0015446
25,2262.98,1.21537,2.46321,1.09378,1.18953,0.70598,0.57136,0.64013,0.4046,0.71661,0.54093,0.62002,0.3425,1.25271,2.5274,1.07935,1.22132,0.0015248,0.0015248,0.0015248
26,2353.3,1.21485,2.45392,1.08505,1.18284,0.72185,0.56486,0.64549,0.41093,0.71557,0.54759,0.62517,0.34302,1.24126,2.54053,1.06615,1.20806,0.001505,0.001505,0.001505
27,2444.25,1.20919,2.45567,1.07398,1.18151,0.72799,0.56269,0.64593,0.4138,0.72838,0.55449,0.62804,0.34704,1.22779,2.48454,1.04432,1.20442,0.0014852,0.0014852,0.0014852
28,2534.61,1.21095,2.4407,1.0832,1.18389,0.71496,0.55429,0.63617,0.4082,0.71096,0.53871,0.61383,0.3414,1.23939,2.49806,1.08313,1.20698,0.0014654,0.0014654,0.0014654
29,2625.67,1.19674,2.43282,1.06639,1.17847,0.71112,0.57781,0.65128,0.41966,0.73658,0.55329,0.63656,0.34979,1.20422,2.48198,1.04705,1.18485,0.0014456,0.0014456,0.0014456
